Name,Currency,Top Category,Category,Updates,Comments,Rewards,Goal,Pledged,Backers,Start,End,Duration in Days,Facebook Friends,Facebook Shares,Creator - # Projects Created,Creator - # Projects Backed,# Videos,# Images,# Words (Description),# Words (Risks and Challenges),# FAQs,r1,r2,r3,f1,f2,f3,Result,Video
Gate Seventeen (Boarding Soon),CAD,Theater,Theater,2,8,7,2096.25,2253,66,2014/3/5,2014/4/1,26,682,109,2,48,0,9,1418,204,22,55.5,79.5,102,6,7,9,1,1
Dark Horse BBQ team looking to do the empire league,USD,Food,Food,0,0,3,2500,50,1,2014/5/2,2014/6/1,30,557,2,1,0,0,0,206,44,0,0,0,0,0,0,0,0,0
Uppity Hobo Designs T-Shirt Printing,USD,Fashion,Fashion,0,0,2,5000,30,1,2013/12/31,2014/1/15,15,114,51,1,0,0,3,441,37,0,0,0,0,0,0,0,0,0
Timbrr - A Cedar & Copper stylus for your Smart Device,USD,Design,Product Design,11,21,12,12000,14650,334,2014/5/18,2014/6/23,35,720,387,1,20,0,23,599,110,0,974,2212,3097,27,46,68,1,1
NEON COWBOYS - Plastic Injected El Wire Cowboy Hat,USD,Fashion,Accessories,0,1,17,60000,1513,29,2014/4/23,2014/5/26,33,1326,434,1,0,1,11,390,79,0,293,512,524,4,10,10,0,1
Squizmo: A 3D Printed Tube Squeezing (and Sealing) Gizmo,USD,Design,Product Design,1,2,14,14000,1675,58,2014/4/29,2014/5/29,30,0,112,2,5,0,10,1093,238,0,425,550,587,22,28,32,0,1
The Frauds Do I Kveld Med Ylvis!,GBP,Film & Video,Comedy,6,5,2,190.5,302.26,23,2014/5/20,2014/6/22,32,0,37,2,0,0,0,126,54,1,68.58,116.84,190.5,8,11,16,1,1
The Short Film 'Real',USD,Film & Video,Shorts,0,0,11,1500,1860,17,2014/3/20,2014/4/19,30,649,94,1,0,0,5,425,82,0,0,15,15,0,1,1,1,1
Perception | Feature Length Film,USD,Film & Video,Narrative Film,1,0,11,10000,2761,15,2014/5/6,2014/6/5,30,338,150,1,3,0,3,428,58,0,1234,1325,1325,4,5,5,0,1
Mous -  The simple solution to storing your Apple headphones,GBP,Design,Product Design,2,0,9,31750,297.18,11,2014/2/25,2014/4/1,34,0,47,1,2,0,9,1001,131,1,123.19,137.16,107.95,6,7,6,0,1
Monster Books are Back! Get the Three New Books Today!,USD,Publishing,Children's Book,8,1,8,300,309,14,2014/2/19,2014/4/3,42,1893,458,10,96,1,10,161,96,0,80,111,151,1,5,7,1,1
Make-Believe,USD,Film & Video,Film & Video,3,0,5,2500,2515,36,2014/3/25,2014/4/24,30,959,177,1,0,0,0,201,110,0,490,586,600,10,12,13,1,1
The Mischief and Mayhem of Molly Woggles,CAD,Publishing,Children's Book,0,0,3,7500,18.75,1,2014/3/27,2014/4/26,30,44,2,1,0,0,0,244,101,0,0,0,0,0,0,0,0,1
FUN-O-PLANET #1: FAILED ALIEN (First issue printing!),USD,Comics,Comic Books,1,3,14,2500,2686,97,2014/5/19,2014/6/18,30,452,168,1,1,0,3,320,100,0,415,478,511,11,15,17,1,1
Sea Salt and Cinnamon Vegan Cupcakes,USD,Food,Food,5,10,6,1000,1351,32,2014/5/14,2014/5/28,14,404,517,1,0,0,2,207,70,0,361,520,621,10,15,17,1,1
C. is for COLORING BOOK,USD,Art,Conceptual Art,7,6,13,945,1446,65,2014/2/19,2014/3/13,21,2828,533,2,1,0,4,611,29,0,97,221,275,5,11,14,1,1
Freedom From Choice Documentary (Finishing Funds),AUD,Film & Video,Documentary,2,3,7,13320,16354.8,257,2014/5/8,2014/6/7,30,0,1158,1,3,1,3,1052,218,0,1246.32,4097.52,4263.12,47,56,63,1,1
The Wolf - a graphic novella,GBP,Comics,Comics,13,2,9,6350,2705.1,93,2014/3/23,2014/4/22,30,203,197,1,6,0,12,872,129,0,449.58,713.74,800.1,13,23,28,0,1
"Christen B. presents: ""Begins At The End"" EP",USD,Music,Music,3,8,7,3000,3605,81,2014/3/10,2014/4/19,39,1172,338,1,0,0,0,147,79,0,280,322,450,7,9,11,1,1
Sly and The Family Stone Convention,USD,Music,Music,0,0,4,15000,550,11,2014/5/6,2014/6/5,30,335,106,1,4,0,1,326,64,0,206,220,230,2,3,4,0,1
Protect The Electric Grid From Hackers With SCADATrust,USD,Technology,Technology,0,1,9,101010,10,7,2014/4/24,2014/5/27,32,0,438,1,0,0,11,1162,265,3,4,4,4,3,4,4,0,1
8th Annual Buffalo Small Press Book Fair!,USD,Publishing,Publishing,2,1,11,2000,2323,85,2014/2/28,2014/4/5,36,1117,456,5,4,0,10,326,90,0,19,153,325,1,6,9,1,0
Changes in the Landscape,USD,Journalism,Journalism,5,3,6,25000,26370,154,2014/4/4,2014/5/4,30,330,453,1,1,0,0,828,344,0,1046,1830,2249,8,11,14,1,1
JordyCakes Custom Cake & Cupcake Boutique,USD,Food,Food,1,8,11,10000,14353,260,2014/1/6,2014/1/27,20,1984,2553,1,3,0,10,116,134,0,1738,2026,2428,25,31,37,1,1
"Anywhere, But Backwards",USD,Publishing,Fiction,0,0,5,3000,285,3,2014/5/8,2014/6/7,30,0,9,1,1,0,0,306,139,0,285,285,285,3,3,3,0,1
The Get Right Band's First Full-Length Album!,USD,Music,Rock,5,0,20,7000,7620,130,2014/2/15,2014/4/1,44,0,537,1,0,2,1,513,145,0,480,757,1020,8,11,16,1,1
Franklin,USD,Film & Video,Shorts,0,0,8,625,823,25,2014/3/28,2014/4/27,30,191,232,3,3,0,0,120,84,0,202,215,240,3,5,6,1,1
Parsha Coloring Pages: A little more for your fridge door.,USD,Comics,Comics,4,1,6,5000,7117,182,2014/2/14,2014/3/16,29,683,664,1,3,0,0,300,83,3,1978,2035,2761,49,49,57,1,1
Landover LARP,USD,Games,Games,0,0,7,7500,70,5,2014/2/24,2014/4/10,44,0,13,2,0,0,2,256,111,0,0,5,10,0,1,2,0,0
Sarah Frazier's Debut Album!,USD,Music,Music,3,0,9,4000,4468,72,2014/2/18,2014/3/20,29,261,1085,1,0,0,2,364,71,0,734,890,918,14,19,20,1,1
SuperGreen Hemp Yoga Mat: with lifetime guarantee!,CAD,Design,Product Design,3,7,9,7125,4662.75,54,2014/3/4,2014/4/18,44,776,170,2,18,2,11,984,78,1,237.75,346.5,512.25,4,5,8,0,1
"Susan's 1st worship CD, A New Season-No Limits No Boundaries",USD,Music,Music,7,6,6,2000,2400,26,2013/12/17,2014/1/8,22,851,180,1,1,0,3,435,87,0,24,115,130,1,3,4,1,1
The Monument Project: Africa,USD,Art,Public Art,4,6,9,25000,26197,262,2013/12/30,2014/1/29,30,0,18,1,3,0,0,948,167,0,4021,4092,4372,71,74,76,1,1
Neo_SoulZ  Open Mic,USD,Art,Performance Art,0,0,11,10000,23,1,2014/5/23,2014/6/22,30,0,0,3,0,0,27,926,111,0,0,0,0,0,0,0,0,1
Jessica's Cupcake Shop is Getting a Food Truck!,USD,Food,Food,0,0,7,9995,10,2,2014/3/24,2014/4/23,30,580,0,1,0,0,3,203,147,0,0,0,0,0,0,0,0,0
durteeshirts: Get your durt on.,USD,Fashion,Fashion,0,0,4,2000,2025,32,2014/4/1,2014/5/1,30,0,102,1,0,0,6,147,45,0,160,352,535,3,6,10,1,1
Sock Fanatics,USD,Fashion,Ready-to-wear,1,0,5,1350,132,6,2014/5/20,2014/6/19,30,0,24,2,0,0,0,294,60,0,50,100,100,1,2,2,0,1
The Dog Talker episodes #2 and #3: Love or Duty?,USD,Film & Video,Comedy,0,0,7,4000,4025,44,2014/5/28,2014/6/13,15,1079,134,2,7,0,0,286,93,0,135,160,160,4,5,5,1,1
HUNTINGTON'S DANCE doc stretch goal,USD,Film & Video,Documentary,3,1,11,5500,7283,101,2014/4/30,2014/5/30,30,769,1640,1,3,0,4,623,50,0,324,470,974,5,8,15,1,1
TOURING TEDDIES - Give Your Kids the World!,USD,Design,Product Design,7,0,15,8000,8113,39,2014/2/4,2014/3/6,30,0,79,1,7,0,15,2193,187,4,599,877,1539,3,5,9,1,1
Why Did God Give?,USD,Publishing,Children's Book,0,0,4,5000,122,9,2014/4/26,2014/6/11,45,581,47,1,0,0,0,359,164,0,27,36,36,2,3,3,0,1
The Chinese Calligraphy Posters : Seven Deadly Sins,USD,Design,Graphic Design,6,14,7,3000,7776,132,2014/1/11,2014/2/20,40,172,64,1,3,0,17,954,72,4,107,317,1065,10,13,23,1,0
A Chance of Snow,USD,Film & Video,Short Film,1,1,7,5000,5121,73,2013/12/26,2014/1/25,30,725,396,1,0,0,0,205,64,0,262,530,625,3,8,10,1,0
"Frayed Lines Apparel ""Fish Hard and Fray Lines""",USD,Fashion,Fashion,0,0,11,6000,6072,57,2014/4/7,2014/5/12,35,441,228,1,0,0,0,143,67,1,2255,2836,3976,26,35,40,1,1
The Wild Farm: Producing Local Sumac Spices,USD,Food,Food,4,5,16,33000,35111,283,2014/2/13,2014/3/15,29,0,429,1,3,0,9,828,43,2,5406,6010,6630,27,38,48,1,1
"The ""Me-Steve"" Show  -  Sitcom Project",USD,Film & Video,Film & Video,0,0,11,1000,1050,13,2014/1/24,2014/3/10,44,984,197,1,0,0,10,542,204,0,0,0,0,0,0,0,1,1
Super Best Friends Club - ALBUM 2,GBP,Music,Rock,0,0,8,3175,3529.33,102,2014/3/4,2014/4/3,29,694,240,1,0,0,0,398,103,0,143.51,454.66,709.93,4,8,15,1,1
"""The Resistance"" Action Web-series",AUD,Film & Video,Film & Video,0,0,2,144,61.2,1,2014/3/31,2014/4/30,30,0,9,1,0,0,0,74,66,0,0,0,0,0,0,0,0,0
Anchorage Ballet: Creating the backdrop for Chopiniana.,USD,Dance,Dance,0,0,11,4850,2322,38,2014/1/5,2014/2/1,26,0,0,1,0,0,2,391,76,0,5,192,221,1,5,7,0,1
the Superhero Training Network,USD,Film & Video,Webseries,0,0,21,7500,1645,24,2014/3/4,2014/5/3,59,345,191,1,0,2,17,1377,167,0,50,100,100,1,2,2,0,1
The ARC Plasma Speaker,USD,Technology,Hardware,6,63,9,10000,74446,572,2014/2/26,2014/3/29,30,334,1495,2,0,2,2,1288,210,3,11059,18442,22693,101,164,193,1,1
INTUNE Music + Arts Festival,USD,Music,Music,0,1,11,3000,3942,53,2014/3/4,2014/3/19,14,0,545,1,0,0,5,576,225,0,315,1050,1130,10,14,17,1,1
Flipsters foldable shoes,AUD,Fashion,Fashion,0,0,10,36000,537.84,25,2014/4/1,2014/5/6,35,0,41,1,0,0,19,494,174,0,176.4,190.8,284.4,3,4,11,0,1
Young Makers to build remote controlled amphibious vehicle,USD,Technology,Hardware,3,0,4,3600,3632,22,2014/4/8,2014/6/7,60,0,24,2,2,0,0,211,62,0,21,44,206,2,3,6,1,1
Gizmo the Truck Kitty,USD,Publishing,Children's Book,1,2,5,3000,211,7,2014/4/28,2014/5/28,30,0,2,1,0,0,0,158,75,0,0,65,100,0,1,2,0,0
Expect the Unexpected,USD,Publishing,Fiction,0,0,3,1000,50,2,2014/1/21,2014/3/22,59,138,53,1,0,0,0,81,77,0,0,30,30,0,1,1,0,0
Create Street Art Banners with the Bothwell Arts Center,USD,Art,Art,1,2,10,2750,2862,27,2014/5/21,2014/6/20,30,594,236,1,1,0,0,216,106,0,1870,1870,1893,7,7,7,1,1
Sweetlings Season 2: The Deadly Tropical Vacation,USD,Film & Video,Webseries,0,0,14,7391,7773,53,2014/4/1,2014/4/27,26,766,115,1,4,0,11,1307,286,0,50,50,100,1,1,2,1,1
Giant vs Horde: Battle a real human without limits!,USD,Games,Video Games,3,7,15,50000,7251,93,2014/4/16,2014/5/15,28,782,468,1,0,1,29,955,173,3,2571,2663,2871,24,30,35,0,1
You Are You:        A photobook about gender unique children,USD,Photography,Photography,6,6,6,35000,41665,437,2014/4/10,2014/5/14,34,552,2072,1,7,0,6,731,59,0,2357,3680,4092,26,36,40,1,1
RE-LIGHT The Light Factory,USD,Photography,Photography,6,7,70,20000,32525,321,2014/4/20,2014/5/29,38,0,781,1,0,1,57,2986,132,2,225,7578,9557,2,46,62,1,1
Hitting The Road,CAD,Photography,Photography,1,0,4,6000,665.25,10,2014/2/21,2014/3/23,29,633,204,2,0,0,0,447,68,0,0,225,225,0,2,2,0,0
WOULD YOU LET THE WORLD GO TO CHAOS? ASTOR WOULD NOT!,USD,Publishing,Children's Book,0,0,5,4602,4688,17,2014/1/14,2014/2/7,24,75,0,1,0,0,0,1112,45,0,1355,1355,2230,13,13,13,1,1
El Voto Hispano | The Documentary,USD,Film & Video,Documentary,19,37,28,158000,165401,461,2014/3/18,2014/4/27,40,1148,2055,1,6,0,24,2523,379,5,10010,12534,14852,50,70,83,1,1
Flippin' Fruit - The 'Juiced Up' Dice Game!,GBP,Games,Tabletop Games,29,203,11,3556,4829.81,170,2014/1/11,2014/2/10,30,87,40,1,8,5,26,1113,137,7,819.15,1075.69,1277.62,38,50,61,1,1
Bohemian Pipe Dreams - Book of Poetry & Artwork,USD,Publishing,Poetry,2,0,3,2340,1,1,2014/1/7,2014/1/22,15,0,1,1,0,0,0,94,101,0,0,0,0,0,0,0,0,0
A Studio Startup,USD,Photography,Photography,0,1,12,5500,440,4,2014/3/29,2014/4/13,15,199,109,1,0,0,0,431,132,0,75,87,440,2,2,4,0,0
Drake II: Horizons,CAD,Games,Tabletop Games,41,4461,20,11250,94188.75,491,2014/2/6,2014/3/8,30,337,425,2,1,1,30,461,134,4,29105.25,31835.25,33478.5,223,246,256,1,1
The Brooklyn Rider Almanac,USD,Music,Music,5,2,20,40000,58503,277,2014/3/26,2014/5/25,60,1457,1135,2,14,0,0,835,327,0,3231,14191,14420,23,37,42,1,1
Photographic project 'The Forgotten Faces of Communism',GBP,Photography,Photography,0,0,1,6350,298.45,4,2014/3/11,2014/5/10,60,0,0,2,0,0,7,379,97,0,0,0,0,0,0,0,0,0
"Dancing with the Spirit | A Music Camp for Kids in Eagle, AK",USD,Music,Country & Folk,0,0,3,5000,5705,99,2014/4/11,2014/5/11,30,0,528,1,1,0,6,714,231,0,90,163,280,3,5,8,1,1
The Blue/Bird Collection from A Leap of Style,USD,Fashion,Apparel,4,33,18,15000,16180,150,2014/5/1,2014/5/31,30,552,645,1,7,0,20,887,218,0,3243,3695,4560,22,25,32,1,1
The North Dakota Horizon Project,USD,Photography,Photography,0,0,9,2500,390,14,2014/4/20,2014/6/4,45,1220,41,1,6,0,3,222,40,0,175,175,175,5,5,5,0,1
Love Hate T-Shirt Design,GBP,Fashion,Fashion,1,0,3,1270,203.2,8,2014/1/1,2014/1/31,30,0,19,3,0,0,6,165,65,0,101.6,101.6,101.6,4,4,4,0,0
Ghost Heart: Book Three of The PSS Chronicles,USD,Publishing,Young Adult,8,3,17,2500,3543,108,2014/5/1,2014/5/31,30,750,813,3,13,0,7,1247,66,0,299,434,588,8,12,19,1,1
Tomb of Tyrants,USD,Games,Video Games,6,10,9,6000,587,38,2014/5/25,2014/6/9,15,111,3,1,54,0,10,2278,172,2,80,92,110,6,8,9,0,1
THEATRE GROUP DZIECI: WESTWARD HO!,USD,Theater,Theater,3,4,9,10000,10459,161,2014/4/1,2014/5/1,30,487,346,1,0,0,0,550,138,0,567,1145,1195,12,19,21,1,1
Common Fibers  - A Real Carbon Fiber Wallet,USD,Design,Product Design,15,447,16,20000,164776,2566,2014/3/19,2014/4/18,30,346,1934,1,13,4,15,15,271,7,9800,16031,21946,175,280,361,1,1
Author Wants to Complete His Search for the New America,USD,Publishing,Nonfiction,1,0,3,5000,2245,13,2014/5/25,2014/6/24,30,313,17,2,0,0,0,259,82,0,50,50,50,1,1,1,0,1
www.electionr.us,USD,Publishing,Nonfiction,0,0,2,50000,40,2,2014/5/9,2014/6/8,30,0,30,1,0,0,0,445,16,0,40,40,40,2,2,2,0,1
Evanston Escola de Samba 4th of July Parade,USD,Music,World Music,2,1,8,3600,3734,42,2014/5/8,2014/6/7,30,0,216,1,0,0,0,569,59,0,776,776,776,7,7,6,1,1
"Wheelchairs & Zombies: ""Survival"" in a non-handicapped world",USD,Film & Video,Documentary,1,1,19,65000,770,13,2014/1/11,2014/2/10,30,577,4,1,0,0,0,1094,1288,0,275,275,302,4,4,4,0,1
Makesmith CNC -  The Most Affordable Desktop CNC Router,USD,Technology,DIY Electronics,8,154,4,10000,82207,423,2014/5/8,2014/6/10,32,546,388,1,0,1,8,2002,146,17,21905,27191,32271,132,154,177,1,1
Tonkiri - Chapter One - Juan Flores,CAD,Film & Video,Documentary,2,1,5,12000,12275.25,104,2014/1/6,2014/2/11,36,178,609,1,0,0,2,864,96,0,236.25,297.75,387.75,5,8,10,1,1
"""A Post-Apocalyptic Guide To Compost""- SHORT FILM",NZD,Film & Video,Short Film,1,0,5,3400,782,24,2014/3/14,2014/3/29,15,0,133,1,1,0,11,680,212,0,350.88,426.36,492.32,9,12,16,0,1
Ibex & The Debut Album,USD,Music,Country & Folk,1,1,12,5000,5119,132,2014/2/1,2014/3/1,28,925,295,1,10,0,1,231,35,0,556,810,862,13,20,22,1,1
"""The Hunt Ends"" - Short film",GBP,Film & Video,Short Film,2,5,9,3486.15,3581.4,17,2014/1/17,2014/2/16,30,650,52,1,0,0,0,572,180,0,1320.8,1320.8,1320.8,4,5,5,1,1
Supper of the Seven Deadly Sins,CAD,Art,Performance Art,0,0,14,3000,135,5,2014/3/21,2014/4/20,30,293,48,1,1,0,0,341,99,0,75,120,135,3,4,5,0,1
CURVY 2014,AUD,Design,Design,2,0,11,7200,2041.2,47,2014/2/23,2014/3/25,29,0,162,1,2,0,19,1499,72,0,356.4,522,522,9,14,14,0,0
Enotebook,CAD,Technology,Technology,0,0,1,75000,15.75,2,2014/4/9,2014/5/9,30,406,71,1,0,0,0,873,38,9,0,0,0,0,0,0,0,1
Gitchain,CAD,Technology,Software,5,2,10,7500,8889,120,2014/5/16,2014/6/15,30,279,179,1,2,1,0,612,71,6,2283.75,7015.5,7108.5,30,37,42,1,1
Headbutt,USD,Games,Video Games,0,6,13,12500,1414,25,2014/1/22,2014/2/28,36,113,86,1,7,0,7,891,33,2,1396,1397,1397,20,21,21,0,1
Make your claim as an Individual!,USD,Fashion,Fashion,0,0,5,900,425,5,2014/3/14,2014/4/13,30,212,80,1,0,0,1,568,46,0,25,50,50,1,2,2,0,0
A Little Love and Happiness Bake Shop and Dessert Bar,USD,Food,Small Batch,5,2,16,55000,5820,63,2014/4/30,2014/6/14,45,395,970,1,5,2,5,1087,130,0,1969,2105,2130,10,14,15,0,1
The Gloom Project,USD,Games,Video Games,2,3,12,200000,250,8,2014/4/9,2014/6/8,60,161,4,1,1,0,3,296,408,0,5,5,105,1,1,2,0,0
"""True Love"" a film premiere to honor our fallen hero",USD,Film & Video,Short Film,1,0,10,2500,3644,46,2014/1/13,2014/2/12,30,848,193,2,0,0,4,1701,394,0,781,936,1456,7,9,12,1,1
Vacation Crash Course,USD,Film & Video,Film & Video,1,0,14,250000,50,1,2014/3/21,2014/4/15,25,0,1,1,0,1,7,970,289,0,0,0,50,0,0,1,0,1
Spread the TAIKO love! From basket drums to real taiko drums,AUD,Music,Music,6,5,9,4320,5407.2,175,2014/4/24,2014/5/25,30,0,1168,1,1,0,6,1375,324,0,342,451.44,835.92,10,13,23,1,1
"David Walsh, bowlmaker, Fine Wooden Bowls Limited Edition #7",USD,Crafts,Crafts,1,4,46,250,4749,60,2014/4/26,2014/5/6,10,0,5,8,5,0,51,4172,103,0,3121,3241,3770,38,43,48,1,1
What the Sky Sees: Grand Format Topographic Tapestries,USD,Art,Public Art,9,0,13,25000,2050,19,2013/12/17,2014/1/26,39,0,0,2,2,0,20,1087,90,0,227,700,715,4,7,7,0,1
DARK SIDE OF THE MOON,USD,Film & Video,Short Film,2,0,17,5000,5812,53,2014/1/13,2014/2/12,30,846,63,1,2,0,0,433,127,0,2600,3450,3555,23,29,31,1,1
Southern Boy Teas--MOAR Iced Teas!,USD,Food,Food,13,74,7,1000,8439,293,2014/4/15,2014/5/20,34,183,98,2,3,0,6,1842,117,3,2536,3079,3320,77,96,106,1,1
GOD LOVES YOU,USD,Music,Music,0,0,6,3000,16,2,2014/2/5,2014/3/7,30,0,0,1,1,0,0,167,65,0,1,1,1,1,1,1,0,1
No Idols' Journey to Team Backpack's Finals,USD,Music,Hip-Hop,2,0,5,1650,11,3,2014/3/24,2014/4/20,27,452,11,2,0,0,0,341,97,0,0,0,0,0,0,0,0,1
Fantasy Miniatures by Minx Studio,CAD,Games,Tabletop Games,16,220,8,7500,9559.5,169,2014/5/23,2014/6/11,18,222,261,1,15,0,37,816,231,4,7361.25,8911.5,10303.5,113,130,152,1,1
The Improvised History of the World,GBP,Theater,Musical,1,0,15,2540,2562.86,40,2014/5/12,2014/6/11,30,403,136,1,0,0,8,916,172,0,421.64,426.72,426.72,11,12,12,1,1
What Makes A Child Special? Ask the Easter Giraffe.,USD,Publishing,Children's Book,0,0,6,750,20,2,2014/3/28,2014/5/1,33,444,24,1,0,0,0,216,154,1,0,0,0,0,0,0,0,0
online games mmorpg and txt based game free-mmorpg-games.net,CAD,Games,Games,4,0,10,3750,7.5,1,2014/4/2,2014/5/2,30,42,54,1,0,0,3,393,93,3,7.5,7.5,7.5,1,1,1,0,1
Meursault - The Organ Grinder's Monkey,GBP,Music,Indie Rock,0,5,11,3810,6583.68,322,2014/1/22,2014/2/7,16,820,30,1,6,0,0,391,110,0,3211.83,4775.2,5407.66,108,186,237,1,1
Close to the Edge: Life in the Khumbu,USD,Film & Video,Documentary,2,7,6,9000,9281,118,2014/5/25,2014/6/23,28,347,502,1,0,0,0,382,48,0,101,154,306,2,3,5,1,1
"iShell-The ultimate cord manager for iPhone,Android...",USD,Design,Product Design,2,77,12,5000,24295,851,2014/3/12,2014/4/11,30,0,137,1,0,0,12,767,129,0,2519,3899,5053,128,182,217,1,1
Heroes Wanted - a tactical board game for 1-5 heroes.,USD,Games,Tabletop Games,58,1467,13,28000,137946,1912,2014/2/4,2014/3/10,33,479,1237,1,3,7,32,1783,360,7,17653,29368,40661,273,472,650,1,1
Funding to mass produce designs,GBP,Fashion,Fashion,1,0,1,1270,58.42,4,2014/2/26,2014/3/28,29,1406,6,1,0,0,0,187,89,0,20.32,20.32,39.37,2,2,3,0,1
Super Chibi Knight: A Cute Spicy RPG Adventure,USD,Games,Video Games,13,86,11,6000,11189,751,2014/2/19,2014/3/24,32,0,332,1,5,1,40,1331,181,0,2143,3490,3782,137,232,269,1,1
Everything Paracord,USD,Fashion,Fashion,7,0,7,300,316,14,2014/1/2,2014/2/1,30,102,3,2,0,0,5,579,50,0,40,40,40,1,1,1,1,0
Spectre: Virtual Reality Horror,USD,Games,Video Games,16,52,11,15000,18367,367,2014/3/3,2014/4/2,29,451,2746,1,6,0,23,2120,192,6,2557,2871,3906,50,67,81,1,1
Matt Goodwin's Out of the Silo: Album & Graphic Novel,USD,Music,Pop,2,1,10,18750,1655,39,2014/3/8,2014/4/9,31,484,167,2,2,0,0,697,143,2,125,340,470,4,9,12,0,1
The Mind Juggler,USD,Games,Tabletop Games,0,0,7,33000,1,1,2014/1/17,2014/2/16,30,122,4,1,0,0,8,668,51,0,0,0,0,0,0,0,0,0
THE PHOTO BUS,USD,Photography,Photography,7,3,16,10000,13560,142,2014/2/14,2014/3/16,29,1493,699,1,17,0,19,1716,82,0,3127,4670,5360,22,32,40,1,1
The Legend of Sherlock Holmes,USD,Publishing,Fiction,4,14,11,4000,7407,183,2013/12/19,2014/1/9,21,320,149,1,3,0,0,1071,113,1,2464,2930,3576,43,53,67,1,1
HELP ME FUND A WORKING INDEPENDENT UK LABEL,GBP,Music,Music,0,0,6,12700,3.81,1,2014/2/14,2014/3/31,45,0,5,1,0,0,0,455,130,0,0,0,0,0,0,0,0,0
Post Exodus - Motion Comic,GBP,Comics,Comics,0,0,7,635,78.74,6,2014/2/26,2014/3/28,29,0,2,1,0,1,0,185,25,0,0,0,0,0,0,0,0,1
Join the Movement - Take The Helm!,USD,Food,Food,2,0,15,15000,2636,55,2014/4/19,2014/5/19,29,342,299,1,0,0,2,344,242,0,548,665,755,9,16,18,0,1
The Ghetto Olympics 2016,GBP,Film & Video,Film & Video,1,0,9,12700,33.02,2,2014/3/17,2014/4/26,40,0,60,2,2,0,11,201,34,0,0,0,3.81,0,0,0,0,1
Wildlife Coins: Go Wild For Pocket-Sized Animal Trivia!,USD,Design,Product Design,0,2,8,999,1093,24,2014/4/29,2014/5/26,26,373,7,5,6,0,13,443,104,0,132,140,149,4,4,5,1,0
The Death of a Legend,USD,Comics,Graphic Novels,1,0,5,5000,856,14,2014/4/24,2014/6/21,58,231,116,1,0,0,2,153,62,0,142,249,325,1,2,4,0,0
Joy's House Sings!,USD,Music,Country & Folk,1,0,8,154062,152,6,2014/4/22,2014/5/18,26,510,39,2,13,0,0,1125,269,1,10,30,129,0,2,2,0,1
Craftbelly: Screen Printed Decorative Paper Made in the USA,USD,Design,Product Design,6,0,9,5000,6545,129,2014/3/3,2014/4/2,29,706,272,1,13,0,18,1336,123,0,1210,1497,1861,29,38,45,1,1
The Overdue Debut by Mike Coates,USD,Music,Pop,2,10,19,15000,16686,243,2014/2/21,2014/3/23,29,2612,1092,1,4,5,8,1033,81,0,1674,1880,2385,23,29,43,1,1
Army of Angels(A.O.A),USD,Comics,Comics,2,0,5,6000,95,3,2014/1/29,2014/3/10,39,580,89,2,1,0,6,512,71,0,75,75,75,2,2,2,0,0
OLD WIVES - full-length recording,CAD,Music,Rock,7,0,4,1125,1957.5,42,2014/2/25,2014/4/20,54,0,305,1,0,0,0,215,179,0,637.5,787.5,847.5,9,13,14,1,0
AUGMENT - The Modular Charging Solution For iPhone,USD,Design,Product Design,12,212,8,17000,23444,408,2014/5/13,2014/6/18,36,0,465,1,2,0,30,714,225,2,4649,7293,11182,72,127,188,1,1
NASTY,GBP,Film & Video,Shorts,3,1,14,10160,10377.17,77,2014/3/18,2014/4/17,30,1218,501,1,2,0,4,1007,81,0,4733.29,5528.31,5590.54,23,28,29,1,1
Faith and Family Films Projector Project,USD,Theater,Theater,2,0,9,4500,320,8,2014/1/19,2014/3/20,59,156,348,2,2,0,3,376,56,0,0,15,15,0,1,1,0,0
King's Men,USD,Games,Video Games,3,0,11,7000,2056,34,2014/4/28,2014/6/2,35,388,164,1,0,0,18,2496,175,3,336,506,436,5,9,10,0,1
Fund a organic basil garden,USD,Food,Food,0,0,1,200,48,4,2014/3/18,2014/4/17,30,0,5,1,0,0,0,59,39,0,20,20,20,1,1,1,0,0
Don't be a Chicken,USD,Film & Video,Documentary,0,0,14,46000,675,12,2014/1/7,2014/2/9,33,1105,0,2,0,0,9,702,135,0,520,710,745,9,11,12,0,1
"""9:06"" - A Short Film About Time and the Words That Fill It",USD,Film & Video,Short Film,3,0,5,200,655,14,2014/4/5,2014/4/16,10,0,56,1,1,0,0,231,87,0,50,220,220,1,4,4,1,1
The Next California Earthquake - Documentary,CAD,Film & Video,Documentary,1,0,3,1875,128.25,3,2014/3/6,2014/5/5,59,0,48,2,0,0,2,627,132,4,0,0,0,0,0,0,0,1
KL board - Automatic counting board for kettlebell lifting,USD,Technology,Hardware,0,0,5,70000,22,3,2014/4/18,2014/6/2,45,386,90,1,1,1,12,1393,300,0,10,10,11,1,1,2,0,1
"""Songs in Response"" EP #3",USD,Music,Music,5,0,9,5000,6795,77,2014/2/18,2014/3/20,29,1825,249,2,1,0,1,496,50,0,2197,2367,2458,20,23,27,1,1
Good Fashion:  The Search for the Ethical Manufacturers,USD,Fashion,Fashion,0,1,10,5000,18,1,2013/12/18,2014/2/5,49,0,1,1,3,0,1,253,227,0,18,18,18,1,1,1,0,1
Black Velvet - The Movie,USD,Film & Video,Documentary,4,3,6,5000,5140,25,2014/4/3,2014/4/26,22,829,142,1,1,0,6,272,127,3,501,502,502,3,4,4,1,1
