Name,Currency,Top Category,Category,Updates,Comments,Rewards,Goal,Pledged,Backers,Start,End,Duration in Days,Facebook Friends,Facebook Shares,Creator - # Projects Created,Creator - # Projects Backed,# Videos,# Images,# Words (Description),# Words (Risks and Challenges),# FAQs,r1,r2,r3,f1,f2,f3,Result,Video
PROJECT_,GBP,Photography,Photography,0,1,5,381,433.07,10,2014/2/20,2014/3/17,24,0,44,1,0,0,9,301,42,0,31.75,31.75,31.75,1,1,1,1,1
Freeligious Clothing Co. | USA Made | Lifestyle Brand,USD,Fashion,Fashion,9,5,9,7000,7500,112,2014/2/26,2014/3/29,30,1013,1015,1,0,0,23,428,105,0,1330,1892,2115,18,29,32,1,1
Sweat Tailor - The Ultimate Alternative to Denim Jeans,USD,Fashion,Fashion,5,27,7,35000,66728,578,2014/4/18,2014/5/30,41,1260,814,1,6,0,25,632,97,11,8153,10824,13066,71,96,111,1,1
Lalasdreambox leggings,GBP,Fashion,Fashion,0,0,5,2857.5,190.5,3,2014/2/13,2014/3/20,34,0,8,1,0,0,9,511,54,0,63.5,63.5,63.5,1,1,1,0,0
"A night of mystery, murder... and comedy.",USD,Theater,Theater,0,0,8,6000,75,2,2014/4/17,2014/6/16,60,408,30,1,0,0,0,107,113,0,0,0,0,0,0,0,0,0
Type 52 Playing Card Deck,USD,Games,Tabletop Games,5,34,9,10000,8465,418,2014/1/22,2014/3/3,40,1093,46,7,21,0,7,318,100,0,1736,2487,3056,97,142,175,0,0
A Future For Children Through Illustration,USD,Art,Digital Art,6,1,3,1500,75,5,2014/2/1,2014/2/26,24,138,110,1,2,0,0,360,181,0,70,70,70,4,4,4,0,1
'The Treehouse' - A Short Film,GBP,Film & Video,Shorts,11,0,10,3810,4500.88,63,2014/4/23,2014/5/23,30,322,390,2,4,0,11,1531,131,0,2391.41,3037.84,3037.84,20,24,24,1,1
ACA's 2nd Season: Bringing Innovative Theatre to Children,USD,Theater,Theater,0,0,7,3000,3616,33,2014/2/4,2014/3/6,30,0,181,1,0,0,2,356,137,0,2221,2221,2228,16,16,16,1,1
Vivid Voice,USD,Music,Hip-Hop,0,0,4,600,10,1,2014/4/2,2014/4/22,20,113,0,1,0,0,1,188,143,0,0,0,0,0,0,0,0,0
The Holborn Magazine,GBP,Publishing,Periodical,5,5,9,10160,10242.55,291,2014/4/11,2014/5/11,30,0,417,1,10,0,16,679,64,0,636.27,1197.61,1831.34,16,28,44,1,1
"Soul Prophet & the Faithless Few, debut studio recording",USD,Music,Music,2,1,7,6000,1180,20,2014/4/8,2014/5/8,30,410,180,1,0,0,4,817,98,0,180,628,722,6,10,13,0,1
DAZZLED: energy efficient decorative light,USD,Design,Product Design,0,1,9,5000,204,13,2014/5/5,2014/6/4,30,1709,34,1,0,0,19,769,206,0,128,165,165,2,3,3,0,1
CARAVAN TO THE CUP,USD,Film & Video,Documentary,0,0,10,10000,815,13,2014/2/4,2014/3/6,30,188,199,1,0,0,0,583,209,0,147,160,250,5,7,9,0,1
Bruce: An Iconic Print Series of Bruce Springsteen,CAD,Art,Art,0,0,13,375,15,2,2014/1/22,2014/2/21,30,3287,4,4,10,0,2,391,38,0,0,0,0,0,0,0,0,1
"Another Day, Another Dimension (A Dr Who Project)",GBP,Film & Video,Short Film,1,0,8,635,662.94,18,2014/3/3,2014/4/7,35,0,90,1,0,0,3,596,134,0,44.45,44.45,48.26,2,2,2,1,1
Conserving a Long-distance Migrant: the Broad-winged Hawk,USD,Technology,Technology,1,4,7,8000,568,19,2013/12/26,2014/1/25,30,358,11,1,0,0,10,1376,104,0,33,82,86,2,4,5,0,1
Porting EOPlanner from Apple Newton to iOS,USD,Technology,Technology,0,0,2,20000,10,1,2014/4/15,2014/6/14,60,0,2,1,0,0,0,162,48,0,0,0,10,0,0,1,0,1
Hello Dog: a book for children to know and be safe with dogs,CAD,Publishing,Children's Book,5,1,6,1125,1178.25,34,2014/2/19,2014/3/21,29,38,132,1,1,0,0,214,64,2,300,618,618,7,15,15,1,1
The Search for U-656,USD,Film & Video,Documentary,1,0,12,68500,5475,46,2014/6/4,2014/6/24,19,87,331,1,1,0,12,555,182,0,341,564,870,2,6,11,0,1
Threshold of Oblivion -A Life Drama on the Brink of Eternity,USD,Film & Video,Animation,1,0,10,45000,10,1,2013/12/26,2014/1/25,30,428,24,4,0,1,3,1116,194,0,0,0,0,0,0,0,0,1
Kevin Andrew Prchal - New Album!,USD,Music,Country & Folk,2,1,8,4500,6306,183,2014/1/14,2014/2/13,30,0,125,1,5,0,0,453,77,0,1550,2215,2425,46,61,67,1,1
Banshee Brewing Company and You!!,USD,Food,Food,0,0,10,35000,2841,28,2014/1/24,2014/3/10,44,170,100,1,1,0,6,1119,65,0,285,341,535,3,3,6,0,0
Publishing Fred Rivera's Raw Man,USD,Publishing,Nonfiction,14,0,5,8500,10350,130,2014/5/3,2014/6/2,30,544,1405,1,0,0,0,218,123,0,660,670,878,12,13,15,1,1
Escape from Cubicleland,USD,Comics,Comics,6,1,9,1500,1996,56,2014/2/17,2014/3/19,29,383,658,1,9,0,6,194,55,0,65,85,85,4,5,5,1,1
QPin.me - A short code for any location,USD,Technology,Technology,0,0,2,100000,583,25,2014/4/18,2014/5/18,30,111,120,1,1,0,0,240,70,0,30,45,45,2,3,2,0,0
"Mackenzie-Design's ""MODEL A""",CAD,Design,Product Design,0,0,5,3750,567.75,7,2014/4/24,2014/5/24,30,439,60,1,0,0,11,911,78,0,168.75,168.75,191.25,3,3,4,0,1
ROBOT HEART,USD,Music,Music,18,8,20,3000,28914,407,2014/2/6,2014/3/11,32,777,441,6,3,0,6,515,164,0,907,948,1603,17,19,38,1,1
Super Bunny Fighter,GBP,Games,Video Games,2,0,5,508,76.2,3,2014/5/2,2014/6/1,30,0,3,1,0,1,0,414,79,0,48.26,76.2,76.2,1,3,3,0,0
Kids on Bikes,USD,Theater,Theater,1,0,10,2000,2200,57,2013/12/28,2014/1/27,30,303,150,1,0,0,0,396,79,0,46,60,80,1,2,4,1,1
Retcon Poet Anthology,CAD,Publishing,Poetry,2,0,3,412.5,118.5,7,2014/3/18,2014/4/17,30,219,41,1,0,0,0,154,87,1,7.5,7.5,7.5,1,1,1,0,1
Fall of Electricity _ the Grunge Era,USD,Music,Music,4,0,6,1000,1364,68,2014/3/3,2014/4/2,29,1253,156,4,22,0,3,378,86,0,56,62,62,2,3,3,1,1
The Girl In The Little Red Kitchen Bake Shop,USD,Food,Small Batch,3,5,17,7700,8001,166,2014/5/19,2014/6/18,30,451,1071,1,7,0,10,1118,109,0,1473,2371,3080,31,58,71,1,1
Governor's Cup: City of Dreams Pavilion,USD,Art,Public Art,3,0,10,10000,14275,120,2014/3/24,2014/4/23,30,0,418,1,0,0,21,1276,135,0,1521,2860,4830,10,20,29,1,1
Deluxe Anarchs Unbound,USD,Games,Tabletop Games,18,156,38,40000,56731,710,2014/1/22,2014/2/21,30,348,205,11,20,0,14,1495,359,3,19769,23008,26467,231,268,316,1,1
Complex from Alterna Comics: Volume 2,USD,Comics,Comics,4,0,9,1500,1601,36,2014/1/15,2014/2/21,37,397,65,2,14,0,3,550,117,0,538,547,604,12,14,15,1,1
"ASU Higher Ground ""Out of the Blue"" EP project",USD,Music,Music,0,1,7,500,801,19,2014/2/11,2014/3/13,29,0,124,1,0,0,7,319,202,0,736,736,746,16,16,16,1,1
Believe,USD,Games,Video Games,1,0,12,45000,1115,4,2014/2/12,2014/3/15,30,0,9,1,0,3,14,1053,127,2,110,1110,1110,2,3,3,0,1
President Wars- Battle Through The Centuries,USD,Games,Tabletop Games,12,158,7,3800,2193,173,2014/1/31,2014/3/30,57,0,150,2,14,1,30,1110,79,0,671,732,744,53,58,61,0,1
Project Invigorate: Prelude,USD,Music,Classical Music,0,0,4,1600,260,2,2014/2/21,2014/4/2,39,635,0,1,0,0,0,267,81,0,0,0,0,0,0,0,0,0
"Eden Scott's, All of the alove",USD,Publishing,Nonfiction,0,0,7,12600,10,1,2014/5/9,2014/6/8,30,0,28,1,0,0,4,1560,350,0,10,10,10,1,1,1,0,1
Muertos - Day of the Dead Playing Cards,USD,Games,Playing Cards,25,493,22,13000,159706,2793,2014/5/7,2014/6/21,45,766,1304,1,0,0,45,1575,89,4,6616,7400,7939,246,268,287,1,1
Goodnight Lad (Augmented Reality Children's Book),USD,Technology,Apps,7,3,10,12000,7451,153,2014/4/2,2014/5/2,30,256,514,1,3,0,9,538,110,4,1114,1525,1639,30,40,42,0,1
PartyHub,USD,Technology,Apps,0,0,4,500,16,4,2014/5/21,2014/6/20,30,241,12,1,0,0,3,230,50,0,0,0,0,0,0,0,0,0
Platforms and Trains,CAD,Dance,Dance,4,2,1,187.5,195,14,2013/12/31,2014/1/30,29,470,0,2,0,0,0,161,59,0,60.75,93.75,127.5,4,6,9,1,1
"Operation Penumbra: A WWII Supernatural Adventure, Vol. 1",USD,Comics,Comics,6,7,12,15000,5035,81,2013/12/18,2014/1/17,30,332,492,2,91,0,11,1212,102,0,851,1940,2200,13,25,30,0,1
"Cool music for children that you secretly love, too.",USD,Music,Kids,2,7,11,25000,31310,271,2014/4/27,2014/5/27,30,439,562,1,3,0,3,483,58,0,6086,7890,8772,43,65,81,1,1
Spirit Track (short film) festival entry,AUD,Film & Video,Shorts,0,0,5,360,3.6,1,2014/5/9,2014/6/23,45,376,33,3,0,0,0,331,50,0,0,0,0,0,0,0,0,1
Surf Soup:  Learn how to Surf & Ocean Conservation Pic Book,USD,Publishing,Children's Book,35,1,15,1000,1160,29,2014/3/18,2014/5/17,60,221,67,2,4,0,14,1379,135,2,53,53,53,3,3,3,1,1
The best way to travel - Mobile closet ...,USD,Design,Design,0,2,4,10000,117,4,2014/4/3,2014/5/13,40,0,8,1,0,1,3,146,62,0,1,1,1,1,1,1,0,1
WICKER,USD,Comics,Comics,8,8,19,7000,7607,134,2014/2/1,2014/3/9,36,257,252,2,12,0,25,371,349,0,5037,5119,5210,63,68,72,1,1
James Clark's Lonely Hearts Rugby Clwb Film & Recording,GBP,Music,Music,1,0,9,381,792.48,26,2014/1/7,2014/2/3,27,560,0,1,2,0,2,382,185,0,190.5,203.2,209.55,2,3,3,1,0
The Homie Sydney Presents: The Artistic Playground,USD,Art,Mixed Media,0,0,8,3000,3765,50,2014/5/7,2014/6/6,30,0,121,1,0,0,0,157,54,0,635,635,797,6,6,9,1,1
The Bulldogs And The Geek,USD,Film & Video,Film & Video,0,0,14,70000,26,1,2014/2/22,2014/3/24,29,164,21,1,0,0,3,1048,408,0,0,5,26,0,0,1,0,1
Renegade State Album,GBP,Music,Metal,0,0,4,6350,190.5,6,2014/3/5,2014/4/4,29,593,146,1,0,0,0,193,71,0,101.6,152.4,152.4,2,4,4,0,1
Trippin - A Short Film,USD,Film & Video,Comedy,0,0,5,4400,450,5,2014/6/3,2014/6/18,14,0,13,3,3,0,0,741,94,6,87,200,450,0,3,5,0,1
Recalculating: Rediscovering the American Dream -Documentary,USD,Film & Video,Webseries,3,7,10,15000,4433,33,2014/2/20,2014/3/22,29,225,310,1,3,0,0,165,48,0,763,778,778,16,18,17,0,1
Streetlight Sessions - Basic Psychology (album),USD,Music,Music,0,0,5,2000,12,2,2014/1/28,2014/2/27,30,0,25,1,1,0,0,294,81,0,9,10,10,0,1,1,0,1
Pawda_: Pet GPS Tracking System with Apple and Android App,AUD,Technology,Technology,2,3,8,36000,1759.68,28,2014/3/21,2014/4/27,37,2594,222,1,1,1,11,1701,106,0,310.32,658.08,741.6,5,6,9,0,1
Look mum! Dark humor clothing line.,AUD,Fashion,Fashion,0,2,3,720,18,1,2014/1/10,2014/1/30,20,0,0,1,0,0,0,62,36,0,18,18,18,1,1,1,0,0
12 Realms: Ancestors Legacy,USD,Games,Tabletop Games,31,939,9,40000,107571,730,2014/5/12,2014/6/13,32,0,216,14,2,5,62,1613,371,0,57906,63581,67309,432,473,497,1,1
Goccia: The World's Smallest and Simplest Activity Tracker,USD,Technology,Wearables,5,101,11,50000,63842,712,2014/3/31,2014/4/25,25,0,210,1,1,0,32,1748,200,1,5336,6883,9632,76,96,132,1,1
Red Hot Riot EP,USD,Music,Music,1,2,9,4500,5222,68,2014/3/19,2014/4/18,30,1629,351,1,0,0,0,232,99,0,545,615,675,14,16,17,1,1
Crappy Golfers Association - Gotta Dress Well to Play Well,USD,Fashion,Apparel,2,0,12,10000,1886,37,2014/5/9,2014/6/15,36,0,77,1,5,0,13,353,95,0,675,675,692,12,12,12,0,1
Custom KY Bourbon Barrel & Reclaimed Lumber projects,USD,Crafts,Crafts,0,0,3,10500,80,2,2014/4/4,2014/5/4,30,80,5,1,0,0,6,100,70,0,0,0,40,0,0,1,0,0
Go Extinct! Go Fish... evolved,USD,Games,Tabletop Games,7,16,12,15000,16335,328,2014/4/22,2014/5/31,39,727,1214,1,26,0,25,1421,187,0,1322,3808,4254,24,72,85,1,1
The Collected Counter Attack!,USD,Comics,Comics,8,6,12,9000,10545,291,2014/1/31,2014/2/24,24,0,383,1,13,0,9,729,94,0,1523,1899,2021,42,53,55,1,1
The Minimalist Deck: Helvetica. Modern Bicycle Playing Cards,USD,Design,Design,7,26,13,15000,15791,610,2014/2/18,2014/3/30,39,774,1357,1,29,0,9,649,39,0,2789,3071,3267,134,149,160,1,0
Evolving Kat's Eye,GBP,Photography,Fine Art,4,0,7,571.5,261.62,15,2014/4/14,2014/5/14,30,84,25,2,2,0,0,347,137,0,73.66,73.66,73.66,3,3,3,0,0
Bills and Brews - Season 1,USD,Journalism,Journalism,9,5,19,36000,36651,613,2014/3/12,2014/4/14,33,2071,1163,1,5,2,10,887,164,0,835,1345,1686,19,24,34,1,1
Leverage - TV Series (Pilot),CAD,Film & Video,Film & Video,0,0,9,37500,375,1,2014/4/14,2014/5/14,30,0,23,1,0,0,3,340,70,0,0,375,375,0,1,1,0,1
Zany Umbrella Circus's performance of The Gift,USD,Theater,Theater,3,0,7,1300,1650,46,2014/1/29,2014/2/23,24,979,143,1,1,0,0,181,62,0,160,170,392,7,7,12,1,1
Kokommo Designs Natural Accessories,USD,Fashion,Fashion,4,0,9,1000,1506,10,2014/2/10,2014/4/11,59,392,1,5,6,0,17,1022,77,0,331,520,520,2,3,3,1,0
Kaka__ko Agora: An Indoor Public Park by Atelier Bow-Wow,USD,Art,Public Art,4,2,13,15000,16640,168,2014/2/5,2014/3/17,39,0,832,1,1,0,2,380,275,0,6764,8329,8771,73,86,94,1,1
The Adventures of Caroline and the Time Machine,USD,Publishing,Children's Book,2,1,8,10000,100,1,2014/2/7,2014/3/9,29,47,4,1,0,0,0,414,192,0,0,0,100,0,0,1,0,1
"Jonathan Powell & Nu Sangha's new release ""Beacons of Light""",USD,Music,Jazz,4,1,11,6600,7280,224,2014/4/14,2014/5/8,24,2525,1374,1,0,0,0,559,72,0,367,454,527,9,14,15,1,1
Aquaponic- Biofuel- Land development,USD,Food,Food,3,0,9,11500,23,5,2014/4/3,2014/4/23,20,80,21,3,0,0,10,835,236,0,12,21,21,2,3,3,0,1
The Mini Box - Simple Storage Solution,USD,Games,Tabletop Games,15,167,17,7500,23696,281,2014/1/9,2014/2/18,40,651,49,1,7,0,9,341,83,0,1378,3988,4795,20,60,77,1,1
VIATOR GEAR RFID ARMOR Minimalist Wallet - Made in the USA!,USD,Fashion,Accessories,1,2,15,4000,4111,37,2014/4/13,2014/4/27,14,1394,91,2,3,1,13,719,95,1,720,748,670,15,15,14,1,1
Tiger,USD,Film & Video,Short Film,0,0,7,3250,3361,88,2014/2/13,2014/3/10,25,517,333,1,0,0,2,840,205,0,228,435,465,13,23,26,1,1
Caramel Corn from Carolina,USD,Food,Food,0,0,3,750,260,8,2014/5/17,2014/6/16,30,142,30,9,6,0,2,247,41,0,100,100,75,3,3,2,0,1
